prod_smiles,reac_smiles,corrected_template_default_id,dataset,ec_num
CC(=O)CO,CC(=O)C=O,828,train,"['1.1.1.21', '1.1.1.245', '1.1.1.1', '1.1.1.72']"
CC(=O)C=O,CC(=O)CO,845,train,"['1.1.1.21', '1.1.1.72', '1.1.3.9', '1.1.1.75', '1.1.3.18', '1.1.1.245', '1.1.1.1']"
O=C[C@@H](O)[C@@H](O)CC(=O)C(=O)O,O=C(O)C(=O)C[C@H](O)[C@H](O)CO,845,train,"['1.1.1.1', '1.1.1.126']"
O=C(O)C(=O)C[C@H](O)[C@H](O)CO,O=C[C@@H](O)[C@@H](O)CC(=O)C(=O)O,828,val,"['1.1.1.1', '1.1.1.126']"
O=CCc1ccccc1,OCCc1ccccc1,845,val,"['1.1.1.71', '1.1.1.90', '1.1.1.1']"
OCCc1ccccc1,O=CCc1ccccc1,828,train,"['1.1.1.71', '1.1.1.90', '1.1.1.190', '1.1.1.1']"
OC/C=C/c1ccccc1,O=C/C=C/c1ccccc1,828,train,"['1.1.1.195', '1.1.1.90', '1.1.1.1', '1.2.1.5']"
O=C/C=C/c1ccccc1,OC/C=C/c1ccccc1,845,test,"['1.1.1.195', '1.1.1.90', '1.1.1.1']"
COc1cc(/C=C/CO)cc(OC)c1O,COc1cc(/C=C/C=O)cc(OC)c1O,828,train,"['1.1.1.194', '1.1.1.91', '1.1.1.2', '1.1.1.195', '1.1.1.1']"
COc1cc(/C=C/C=O)cc(OC)c1O,COc1cc(/C=C/CO)cc(OC)c1O,845,train,"['1.21.3.3', '1.1.1.194', '1.1.1.91', '1.1.1.2', '1.1.1.195', '1.1.1.1']"
C=CC=O,C=CCO,845,train,"['1.1.1.21', '1.1.3.13', '1.1.1.71', '1.1.3.9', '1.1.1.2', '1.1.1.54', '1.1.1.195', '1.1.1.165', '1.1.1.1']"
C=CCO,C=CC=O,828,train,"['1.1.1.21', '1.1.1.71', '1.1.1.2', '1.1.1.54', '1.2.98.1', '1.1.1.195', '1.1.1.1']"
CCCCCCCC=O,CCCCCCCCO,845,train,"['1.1.1.216', '1.1.1.73', '1.1.3.18', '1.1.1.1', '1.1.3.13', '1.1.1.91', '1.1.1.6', '1.1.1.184', '1.1.2.7', '1.1.1.245', '1.1.1.21', '1.1.1.72', '1.1.1.90', '1.1.1.2', '1.1.1.306', '1.1.1.265', '1.1.3.20', '1.1.1.71', '1.1.1.284']"
CCCCCCCCO,CCCCCCCC=O,828,train,"['1.1.1.265', '1.1.1.21', '1.1.1.72', '1.6.2.4', '1.1.1.91', '1.1.1.6', '1.1.1.71', '1.1.1.184', '1.1.1.73', '1.1.1.90', '1.1.1.283', '1.1.1.2', '1.1.1.306', '1.1.1.245', '1.1.1.1']"
C/C=C/C=O,C/C=C/CO,845,train,"['1.1.1.72', '1.1.3.13', '1.1.1.91', '1.1.1.184', '1.1.1.283', '1.1.1.90', '1.1.1.165', '1.1.1.1']"
C/C=C/CO,C/C=C/C=O,828,train,"['1.1.1.72', '1.1.1.91', '1.1.1.184', '1.1.1.283', '1.1.1.90', '1.2.98.1', '1.1.1.1']"
